year,stock_per_capita,total_stock,population,type
2051,6.303737938441192,61049942926.161125,9684720958.0,predicted
2052,6.362379935095355,61865642496.01368,9723663649.0,predicted
2053,6.420866382329917,62673212387.3108,9760865381.0,predicted
2054,6.479184974276034,63472453440.02337,9796363847.0,predicted
2055,6.5373235498565165,64262802262.14238,9830139471.0,predicted
2056,6.59527010257579,65044767585.91777,9862335670.0,predicted
2057,6.653012790031208,65818422615.54195,9893025114.0,predicted
2058,6.7105399431305806,66583650065.45432,9922249272.0,predicted
2059,6.767840075001633,67340546694.80245,9950079486.0,predicted
2060,6.824901889580046,68089279876.28133,9976594679.0,predicted
2061,6.881714289863678,68830011050.59596,10001869905.0,predicted
2062,6.938266385821553,69562798744.96101,10025962521.0,predicted
2063,6.994547501947206,70288002752.94562,10048970678.0,predicted
2064,7.050547184446971,71005562869.52985,10070929392.0,predicted
2065,7.106255208054861,71715446959.65053,10091876081.0,predicted
2066,7.16166158246672,72417454601.4315,10111823041.0,predicted
2067,7.216756558387352,73111597981.74837,10130811174.0,predicted
2068,7.271530633185409,73797350425.2525,10148805547.0,predicted
2069,7.3259745561518415,74474379937.85478,10165798334.0,predicted
2070,7.38007933335876,75142240353.98973,10181765935.0,predicted
2071,7.4338362321165645,75800731590.69994,10196717983.0,predicted
2072,7.487236785028238,76449517995.89912,10210645154.0,predicted
2073,7.54027279364064,77087716383.6475,10223465184.0,predicted
2074,7.592936331693656,77715149535.91005,10235190464.0,predicted
2075,7.645219747968964,78331236890.58289,10245779647.0,predicted
2076,7.697115668741108,78935562331.1545,10255213216.0,predicted
2077,7.748616999834445,79527850364.11765,10263489648.0,predicted
2078,7.799716928290389,80107775780.18689,10270600397.0,predicted
2079,7.850408923650184,80674823455.69962,10276512248.0,predicted
2080,7.900686738859205,81229035856.81642,10281262698.0,predicted
2081,7.950544410799563,81770501411.067,10284893359.0,predicted
2082,7.99997626045841,82299196669.12502,10287430111.0,predicted
2083,8.048976892740074,82815762181.32602,10288979989.0,predicted
2084,8.097541195930729,83319768829.28809,10289514658.0,predicted
2085,8.14566434082485,83811683915.04747,10289115830.0,predicted
2086,8.193341779523246,84291439994.5037,10287797368.0,predicted
2087,8.240569243912997,84759358478.44696,10285619351.0,predicted
2088,8.287342743839883,85215458641.62393,10282603396.0,predicted
2089,8.333658564984507,85660057567.96584,10278805749.0,predicted
2090,8.379513266453468,86093053374.99997,10274230810.0,predicted
2091,8.42490367809732,86514487743.753,10268899331.0,predicted
2092,8.469826897567293,86924343573.30254,10262824096.0,predicted
2093,8.51428028712296,87322396087.34436,10255992655.0,predicted
2094,8.558261470203204,87708288830.17662,10248376862.0,predicted
2095,8.60176832777293,88082063050.42073,10239994812.0,predicted
2096,8.644798994458121,88443316652.91689,10230812389.0,predicted
2097,8.6873518544818,88792462118.6746,10220889358.0,predicted
2098,8.729425537413569,89129261482.76877,10210209263.0,predicted
2099,8.77101891374524,89453608610.37726,10198770461.0,predicted
2100,8.812131090305146,89765722153.54785,10186607670.0,predicted
