Year,stock_vehicles,inflow_vehicles,outflow_vehicles,stock_change_vehicles,stock_machinery,inflow_machinery,outflow_machinery,stock_change_machinery,stock_BC,inflow_BC,outflow_BC,stock_change_BC,stock_appliances,inflow_appliances,outflow_appliances,stock_change_appliances,total_inflow,total_outflow,total_stock,scrap_collection_rate,scrap_supply,primary_steel_needed
2036,4967528506.245529,282539804.8439066,205772330.1960554,76767474.64785099,13477356611.3218,607428165.3094649,293341366.2897085,314086799.0197582,26664426948.033485,608285957.5677105,162681752.59996364,445604204.96775055,3286329102.064378,245020259.05314046,180597777.22748512,64422481.82565498,1743274186.7742226,842393226.3132126,48395641167.66519,0.7943299021282103,842393226.3132126,900880960.46101
2037,5044494604.032277,286344561.81238914,209378464.02564126,76966097.78674793,13790648326.750277,616209069.1685585,302917353.7400816,313291715.42847633,27110767196.570343,613108628.9072562,166768380.37039998,446340248.5368576,3350806801.4089947,249145358.7220362,184667659.3774202,64477699.34461689,1764807618.61024,863731857.513543,49296716928.761894,0.8027861881742343,863731857.513543,901075761.096697
2038,5121629023.171813,290141221.66284823,213006802.52331236,77134419.1395359,14102772215.27074,624757991.0809232,312634102.5604571,312123888.52046394,27557619128.68544,617781562.2797705,170929630.16467458,446851932.11509705,3415292290.783603,253246520.63557583,188761031.2609671,64485489.37460852,1785927295.6591177,885331566.5094112,50197312657.91159,0.8110560531124524,885331566.5094112,900595729.1497065
2039,5198901193.539304,293928237.4918925,216656067.1244008,77272170.36749077,14413361107.162186,633071448.999246,322482557.10780084,310588891.89144516,28004757351.905,622303741.8511449,175165518.63158485,447138223.2195587,3479738119.7786813,257320859.91072106,192875030.91564274,64445828.99507809,1806624288.2530043,907179173.7794292,51096757772.38517,0.8190564045575442,907179173.7794292,899445114.4735751
2040,5276280324.750296,297704078.3496862,220324947.13869536,77379131.21099186,14722055111.093842,641147052.6549612,332453048.72330713,308694003.9316559,28451955895.29845,626674535.2570813,179475991.86363512,447198543.3934517,3544096954.6339264,261365570.80994457,197006735.9546995,64358834.85524511,1826891237.0716734,929260723.6803372,51994388285.77652,0.8267152665765907,929260723.6803372,897630513.3913362
2041,5353735454.9863,301467231.7238756,224012101.4878705,77455130.23600483,15028503246.080484,648983456.9128708,342535321.9262269,306448134.98664284,28898988665.986286,630893693.5307152,183860922.84287524,447032770.6878357,3608321717.079664,265377934.1253601,201153171.67962176,64224762.44573784,1846722316.2928216,951561517.9365945,52889549084.13274,0.8339739428954522,951561517.9365945,895160798.3562272
2042,5431235500.403268,305216205.9581937,227716160.5412253,77500045.41696739,15332364985.275925,656580305.128677,352718565.93323714,303861739.1954403,29345629906.171463,634961349.1235069,188320108.93832925,446641240.18517685,3672365721.586171,269355324.0275019,205311319.5209953,64044004.50650692,1866113184.2378795,974066154.933787,53781596113.43683,0.8407881520492559,974066154.933787,892047029.3040925
2043,5508749304.955936,308949532.5975735,231435728.04490584,77513804.55266857,15633311697.763233,663938163.9398649,362991451.4525556,300946712.4873085,29791654648.732517,638878012.0261161,192853269.465061,446024742.5610542,3736182810.1741576,273295214.3458757,209478125.75788918,63817088.58798647,1885060922.9094303,996758574.7204117,54669898461.62585,0.847128168865684,996758574.7204117,888302348.1890186
2044,5586245690.468656,312665768.6519728,235169383.1392542,77496385.51271915,15931027976.18322,671058451.0509237,373342172.6309388,297716278.4199867,30236839169.426872,642644564.0095301,197460043.3151703,445184520.694355,3799727483.965586,277195184.25428075,213650510.46285215,63544673.791428566,1903563967.9667075,1019622109.5482155,55553840320.044334,0.8529781084231474,1019622109.5482155,883941858.418492
2045,5663693506.781813,316363498.7716177,238915682.45846024,77447816.31315708,16225212839.885717,677943357.6605073,383758493.9580077,294184863.7024975,30680961433.77804,646262251.0224901,202139986.67133075,444122264.3511696,3862955030.6884375,281052923.3399761,217825376.61712533,63227546.72285128,1921622030.7945912,1042639539.7049239,56432822811.13401,0.8583345534752076,1042639539.7049239,878982491.0896673
2046,5741061681.802553,320041337.3269565,242673162.3062154,77368175.02074051,16515580805.246847,684595767.2184265,394227801.85729957,290367965.36112976,31123801536.759148,649732673.7947937,206892570.81368035,442840102.9811058,3925821647.391392,284866236.041707,221999619.3387514,62866616.70295477,1939236014.3818836,1065793154.3159467,57306265671.19994,0.8632047517629625,1065793154.3159467,873442860.0659369
