Year,stock_vehicles,inflow_vehicles,outflow_vehicles,stock_change_vehicles,stock_machinery,inflow_machinery,outflow_machinery,stock_change_machinery,stock_BC,inflow_BC,outflow_BC,stock_change_BC,stock_appliances,inflow_appliances,outflow_appliances,stock_change_appliances,total_inflow,total_outflow,total_stock_change,steel_needed_vehicles,steel_needed_machinery,steel_needed_BC,steel_needed_appliances,total_steel_needed
1825,22860499.97416444,1592335.5287549198,954294.9921383049,638040.5366166197,901097.7792821828,57439.683573111375,14270.172162682653,43169.51141042868,61689472.72885924,1982437.7887925871,53450.74629722927,1928987.0424953476,1958139.4217647642,157737.94833113765,84045.905695381,73692.04263575654,3789950.949451756,1106061.816293598,2683889.1331581525,1802916.133101132,65035.8736108598,2244608.0036147954,178598.22048362507,4291158.230810412
1826,23516820.130699284,1586795.798956432,930475.6424215882,656320.1565348431,946439.4278847898,60985.06724410901,15643.418641502003,45341.64860260696,63680654.27680078,2050508.1763896602,59326.62844812541,1991181.5479415432,2034712.347757029,165829.73048731062,89256.80449504592,76572.92599226488,3864118.7730775117,1094702.4940062617,2769416.279071258,1796643.7941082788,69050.12142675386,2321680.453339742,187760.1115119006,4375134.480386675
1827,24191941.311377924,1582225.0279057326,907103.8472270896,675121.1806786396,994062.4996683197,64621.23714901148,16998.165365481567,47623.071783529944,65736030.98006151,2121104.4048173176,65727.70155658825,2055376.7032607272,2114278.7114897333,174990.61596062925,95424.25222792508,79566.3637327042,3942941.285832691,1085253.9663770844,2857687.3194556013,1791468.5551468893,73167.16162705104,2401612.7771935207,198132.4908974516,4464380.984864912
1828,24886399.658925388,1582803.715603509,888345.368056044,694458.3475474641,1044081.7782359892,68336.02360871519,18316.745041045768,50019.27856766945,67857667.54108654,2194323.0812693126,72686.52024427449,2121636.561025031,2196955.459232143,184783.85596502403,102107.10822261406,82676.74774240982,4030246.676446561,1081455.7415639784,2948790.9348825742,1792123.772196002,77373.21513667934,2484514.3583212327,209220.85140967395,4563232.197063588
1829,25600746.463372122,1591866.1109308905,877519.3064841593,714346.8044467345,1096617.8212740403,72120.20905439064,19584.166016339615,52536.04303805111,70047694.74567153,2270263.2962635583,80236.091678578,2190027.204584986,2282864.1000684234,194811.38953036643,108902.74869408608,85908.6408362803,4129061.005779206,1086242.3128731628,3042818.692906052,1802384.636470664,81657.84539672853,2570497.3916027606,220574.48995738954,4675114.363427543
1830,26335548.581742432,1611672.0562068224,876869.9378365114,734802.1183703095,1151797.2509144887,75968.51597269188,20789.08633224345,55179.42964044842,72308311.55681618,2349026.519552758,88409.70840809758,2260616.81114465,2372130.8834443595,204755.6922405568,115488.90886462071,89266.7833759361,4241422.783972829,1101557.641441473,3139865.142531344,1824809.8462486668,86015.0769618341,2659676.7657979596,231833.8906709203,4802335.579679381
1831,27091388.868887786,1643338.549014968,887498.2618696119,755840.2871453539,1209753.0586893696,79880.39827867885,21924.590503798077,57955.8077748809,74641787.2735264,2430716.4829053897,97240.76619517659,2333475.7167102247,2464886.983584622,214402.23195140096,121646.13181113877,92756.1001402624,4368337.662150437,1128309.7503797254,3240027.911770722,1860664.11799702,90444.29152930123,2752169.930825849,242756.15030729276,4946034.490659463
1832,27868866.619732905,1686911.3166710173,909433.5658258996,777477.7508451194,1270624.9258087485,83860.57458284919,22988.707463470015,60871.867119378876,77050463.75648682,2515439.050776153,106762.56781573962,2408676.482960418,2561268.6910433914,223646.302665975,127264.59520720542,96381.70745876944,4509857.244695994,1166449.4363123148,3343407.8083836855,1909999.2263032352,94950.83172876947,2848096.751331695,253222.71588085938,5106269.525244559
1833,28668598.02320604,1741539.119227263,941807.715754132,799731.4034731351,1334559.559531346,87919.26299359804,23984.62927100064,63934.6337225975,79536757.72257735,2603302.0801768717,117008.11408633352,2486293.96609053,2661417.6116609713,232487.69961686418,132338.77899928435,100148.92061757995,4665248.162014597,1215139.2381107504,3450108.923903843,1971851.3578207234,99546.26697644705,2947579.348026349,263233.35554445675,5282210.3283679765
1834,29491216.628130626,1805706.7513784585,983088.1464538705,822618.6049245857,1401711.0464350835,92072.10232972348,24920.615425985932,67151.48690373753,82103163.1102576,2694415.271354248,128009.88367399633,2566405.3876802474,2765480.8732092,241015.93795416423,136952.6764059355,104063.26154822856,4833210.063016594,1272971.3219597882,3560238.741056799,2044504.9268324939,104248.30426825576,3050741.9286166755,272889.42250245047,5472384.582219876
