year,steel_stock,stock_vehicles,stock_machinery,stock_BC,stock_appliances,population,stock_per_capita
1824,25191329.2218,4518077.945961302,3451646.2295872685,15235645.61310625,1985959.4331451794,1117897019.0,0.02253457053167077
1825,26548731.3876,4761528.727581585,3637633.71863023,16056598.654944748,2092970.2864434395,1125304048.0,0.023592496121190527
1826,27939449.994599998,5010954.830190225,3828186.1342651444,16897701.3874464,2202607.642698229,1132861806.0,0.024662716887994367
1827,29506104.808099996,5291935.182576041,4042844.8421273106,17845209.846662495,2326114.936734153,1140524282.0,0.025870650256002173
1828,31101658.9117,5578098.637612183,4261463.25075926,18810196.5158832,2451900.5074453563,1148292956.0,0.027085125576351614
1829,32735170.485699996,5871069.784627925,4485282.486963159,19798139.757275727,2580678.4568331866,1155618460.0,0.028326970898076512
1830,34417105.75130001,6172725.745817375,4715736.603409474,20815369.51221426,2713273.8898589,1162497339.0,0.02960618024373818
1831,36037879.16329999,6463412.29687958,4937810.491900591,21795608.748776957,2841047.6257428643,1168886301.0,0.030830953474661343
1832,37693198.17329999,6760294.618838973,5164617.72264752,22796741.066605315,2971544.7652081847,1174792985.0,0.032084970419958704
1833,39476431.0733,7080118.363233949,5408951.360684949,23875235.348142497,3112126.0012386036,1180213555.0,0.03344854912575546
1834,41409108.20329999,7426745.007697009,5673761.433628664,25044113.082936805,3264488.679037516,1185694036.0,0.034923940701427285
1835,43626155.2033,7824373.535658582,5977535.079353779,26384976.921529714,3439269.6667579263,1191237685.0,0.03662254456238093
1836,45859040.558299996,8224842.680794252,6283478.852658793,27735419.753027275,3615299.271819676,1196838401.0,0.03831681914616307
1837,48230268.9683,8650123.724510944,6608378.0085867755,29169532.078121495,3802235.1570807896,1202503348.0,0.0401082201130803
1838,50689321.84329999,9091156.131521674,6945310.629712791,30656760.394560166,3996094.6875053644,1208233715.0,0.04195324233548638
1839,53273142.0321,9554565.620896477,7299338.522964458,32219447.63420291,4199790.254036159,1213934891.0,0.04388467818748938
1840,56069555.55189999,10056103.834317261,7682495.366217957,33910710.727160394,4420245.624204383,1219617217.0,0.04597307644591901
1841,58942626.05189999,10571390.51684804,8076155.536800842,35648335.74781987,4646744.250431239,1225283810.0,0.0481052843193121
1842,61416852.0243,11015144.226737684,8415167.13375107,37144740.71122324,4841799.952588011,1230929323.0,0.049894702219470975
1843,64135704.745799996,11502771.870804029,8787696.811019843,38789095.2498141,5056140.814162029,1236555463.0,0.05186641979665088
1844,67755400.4554,12151966.171455782,9283657.502029436,40978277.113668375,5341499.668246412,1242258939.0,0.05454209128890801
1845,71024433.1903,12738268.885938821,9731571.322474068,42955378.989002496,5599213.992884624,1248042343.0,0.05690867268138834
1846,75495709.1453,13540194.54475283,10344213.182521865,45659594.2088104,5951707.209214912,1253907423.0,0.060208359692675656
1847,79946546.7453,14338454.57400977,10954054.635717222,48351448.36855064,6302589.167022363,1259855932.0,0.06345689591538153
1848,84253384.3453,15110888.128669439,11544165.607337581,50956211.73014481,6642118.879148177,1265889730.0,0.0665566536710113
1849,88363814.8953,15848095.977165557,12107365.428393869,53442188.65600274,6966164.833737839,1271136843.0,0.0695155799958982
1850,92579955.10630001,16604262.908123504,12685049.294718634,55992098.48983458,7298544.4136232985,1275602897.0,0.07257741051234066
1851,97005955.10630001,17398068.30095366,13291487.568683665,58668930.93840793,7647468.298254762,1278768180.0,0.075858905956121
1852,101842321.55330001,18265473.12863812,13954153.117798232,61593951.868936844,8028743.437926816,1281158448.0,0.07949237013757725
1853,107162321.55330001,19219617.88459303,14683084.798208075,64811473.022667125,8448145.847831784,1282781891.0,0.083539004023327
1854,113069964.12269999,20279156.639790203,15492533.637563989,68384398.76246448,8913875.082881318,1284514999.0,0.08802541364696045
1855,119374794.26910001,21409931.192680053,16356404.019765869,72197542.44041908,9410916.616235014,1286359120.0,0.0928005192431022
1856,126327382.9438,22656881.573183153,17309028.48327104,76402448.66862074,9959024.218725082,1288315736.0,0.0980562290856005
1857,133347994.60080001,23916031.910800155,18270973.267602235,80648495.00668895,10512494.415708674,1290386388.0,0.10333958560077433
1858,140016627.6698,25112054.706321556,19184690.91967419,84681665.6769846,11038216.366819683,1292572700.0,0.10832398647271446
1859,147006605.11150002,26365710.78155486,20142438.288584962,88909184.5271288,11589271.514231402,1295121860.0,0.1135079328454081
1860,154364681.343398,27685385.56549883,21150621.535258107,93359328.49834906,12169345.744292017,1298027373.0,0.11892251623833668
1861,161636424.654069,28989576.495297123,22146975.68393413,97757258.55973639,12742613.915101368,1301279942.0,0.12421341437542038
1862,169377402.310119,30377924.848019723,23207623.02431751,102438980.24373908,13352874.1940427,1304883100.0,0.12980274042181938
1863,178074435.581956,31937742.270705555,24399266.459922858,107698921.69615103,14038505.155176556,1308825538.0,0.1360566633304461
1864,187475816.198905,33623884.75461496,25687417.619938865,113384850.45729826,14779663.36705292,1312850777.0,0.14280055241868894
1865,196813517.918686,35298606.395329274,26966843.67365425,119032266.39914393,15515801.450558545,1316952210.0,0.149446211050199
1866,206308823.86382997,37001594.43550721,28267864.222263157,124775000.93667056,16264364.269389061,1321129252.0,0.15616096877085117
1867,216163916.70706803,38769110.4422411,29618181.77617604,130735333.58612438,17041290.902526513,1325389634.0,0.16309461848942455
1868,226644692.267107,40648842.96835982,31054228.64478086,137074077.39663655,17867543.25732979,1329732282.0,0.17044385199569592
1869,238334378.857844,42745394.31409443,32655917.15794821,144143967.22486463,18789100.16093672,1334654211.0,0.17857387845745462
1870,250347442.87994802,44899943.56966607,34301913.95202778,151409434.8211496,19736150.537104595,1340168478.0,0.18680296320172665
1871,262993366.77380598,47167996.571081385,36034623.45471291,159057654.3017795,20733092.4462322,1346202715.0,0.1953594089830713
1872,277538222.32962793,49776623.949786104,38027519.31967978,167854342.3523074,21879736.70785464,1352896118.0,0.2051437790655468
1873,292327911.88975596,52429162.43399611,40053961.66250009,176799105.3253931,23045682.467866678,1360163018.0,0.21492123225023307
1874,306171767.77913296,54912065.15938043,41950808.49272477,185171830.73390138,24137063.393126413,1367501771.0,0.22389131354121877
1875,320101461.8177802,57410363.00130366,43859416.628662005,193596470.81554386,25235211.37227068,1374940414.0,0.2328111520749729
1876,333825466.0580733,59871770.271337226,45739841.71753957,201896710.28115046,26317143.788046043,1382459121.0,0.24147221497341712
1877,347921009.4604396,62399813.28255954,47671174.07441491,210421655.59514236,27428366.50832283,1390028839.0,0.25029769145706166
1878,362347366.6571266,64987187.91916691,49647833.622079134,219146676.16875318,28565668.947127417,1397666358.0,0.25925169092259615
1879,376654850.42574656,67553242.54486968,51608205.4615334,227799802.4248034,29693599.994540088,1405838237.0,0.267921899200517
1880,395067203.1816576,70855507.54991563,54131015.09210954,238935541.98910564,31145138.55052683,1414583216.0,0.27928169846294687
1881,414687270.6358576,74374376.81174015,56819302.449091576,250801704.03262132,32691887.342404556,1423919001.0,0.2912295364726702
1882,436073152.2922876,78209945.76549108,59749536.78233736,263735825.57787243,34377844.166586734,1433850986.0,0.30412724652008405
1883,457710949.18678766,82090695.84769121,62714287.84449428,276822304.7561005,36083660.73850169,1444371648.0,0.3168927815916168
1884,478000603.48128754,85729655.85619403,65494320.137694396,289093431.0520456,37683196.435353555,1455021634.0,0.3285178668905534
1885,497656598.94348764,89254968.82486542,68187530.25092556,300981322.25453717,39232777.61315954,1465857041.0,0.3394987266998349
1886,518208499.8510786,92940962.89927949,71003494.84945692,313411054.5702406,40852987.532101594,1476798447.0,0.3508999490782093
1887,540538396.0409176,96945841.34863144,74063075.442133,326916113.4708813,42613365.77927194,1487893376.0,0.36329108305736396
1888,564135556.5372967,101178004.30785069,77296293.08377329,341187610.2876234,44473648.85804932,1499115427.0,0.376312288151309
1889,589420214.9236096,105712820.88781531,80760727.01725523,356479701.11897784,46466965.899561256,1510109709.0,0.39031615478714177
1890,616391146.9462699,110550071.51801035,84456209.4987397,372791645.5397919,48593220.38972794,1520891633.0,0.4052827522828971
1891,641861249.208419,115118147.55317292,87946052.43899514,388195892.3097427,50601156.90650827,1531425085.0,0.4191267698925142
1892,668095243.3297039,119823227.98899546,91540561.72822262,404062138.7443423,52669314.86814354,1541712153.0,0.4333462910243427
1893,692590095.631776,124216392.43860298,94896778.61730914,418876557.060022,54600367.5158419,1551756342.0,0.446326576464397
1894,717603421.7116591,128702545.42884935,98324035.34889722,434004546.8696417,56572294.0642708,1561938512.0,0.4594312875945395
1895,745770020.919536,133754239.5881124,102183344.83987997,451039627.46738356,58792809.02416007,1572272041.0,0.47432632615231757
1896,775714503.260487,139124798.0083009,106286254.95863792,469149966.8225551,61153483.47099308,1582693744.0,0.49012293515484257
1897,807618358.173749,144846770.91436014,110657632.88598302,488445329.241533,63668625.13187288,1593261169.0,0.5068964046118348
1898,842036544.7766341,151019690.51146922,115373517.58468615,509261352.4497696,66381984.230709136,1603953574.0,0.5249756342240827
1899,880367881.9299538,157894435.6869541,120625571.34474735,532444038.1906669,69403836.70758547,1615300901.0,0.54501788576044
1900,912709275.61681,163694881.39871857,125056899.62425043,552004022.838896,71953471.75494502,1627273655.0,0.5608824753061034
1901,948639823.1783055,170239383.50657642,129093162.13553624,574779521.4613155,74527756.07487644,1639887187.0,0.5784787092054433
1902,987153983.1113498,177304441.62278587,133415186.16245846,599004472.7176839,77429882.6084206,1653151632.0,0.5971345664868507
1903,1027905647.6856511,184660403.435857,137940850.83069882,624810875.2796353,80493518.13945988,1667064512.0,0.6165962026583235
1904,1067633411.6885694,191582739.1612875,142300546.79776916,650428420.1183258,83321705.61118695,1681154888.0,0.635059517305207
1905,1114175915.0426795,200119995.4951082,147357673.5859633,679682489.8940079,87015756.06759901,1695427510.0,0.6571651742531177
1906,1164273245.687862,209390571.77242592,152786283.5646135,710958716.7192677,91137673.63155481,1709887300.0,0.6809064232992794
1907,1215783456.606381,218764628.19974574,158301051.09636325,743408091.0923358,95309686.21793497,1724558347.0,0.7049825010103766
1908,1257636663.115059,225155070.84488443,162693572.75985584,771800477.5156761,97987541.99464251,1739441480.0,0.7230117699130981
1909,1308443675.5771024,233845215.04196468,167958363.74970165,804857909.6322386,101782187.15319759,1753729257.0,0.7460921749206482
1910,1363657966.4528713,243427394.84036463,173684713.39637715,840501789.8038565,106044068.41227308,1767417985.0,0.771553745648272
1911,1416705981.177251,252217828.54159454,179099337.24141482,875480557.5338305,109908257.86041127,1780422213.0,0.7957134947165766
1912,1476487754.398797,262824048.1176451,185098223.32515877,913992468.1793126,114573014.77667905,1792912374.0,0.8235136171795963
1913,1541645850.6738508,274720229.6383242,191802633.0570323,955278668.4191738,119844319.55931892,1804803374.0,0.8541904746427246
1914,1591324911.9465556,281929833.16856295,196662904.54111513,989856740.5603455,122875433.6765319,1816884694.0,0.8758535515223816
1915,1638205225.8820755,288568315.5417402,201163305.29520833,1022793277.0899466,125680327.95518035,1829102909.0,0.895633164116342
1916,1695717791.5438156,297947939.0552644,206737283.5090339,1061301607.7123934,129730961.26712392,1841395693.0,0.9208872367791595
1917,1748271077.7005079,305826666.0010661,211821220.55833796,1097461346.451528,133161844.68957748,1853777065.0,0.9430859355790486
1918,1795794933.9089482,311772614.11256707,216283209.14268836,1132055270.2199202,135683840.43377444,1866778878.0,0.9619751728886597
1919,1834689825.8756618,314250571.7980262,219661144.6511472,1164457170.5091033,136320938.9173852,1880624916.0,0.9755745604912861
1920,1880955222.1063802,318444672.84750724,223750458.84203213,1200969707.9496322,137790382.4672106,1895426673.0,0.9923650695119136
1921,1908081197.5853896,316718289.574108,225248010.11233202,1230031038.6415875,136083859.25736392,1910916276.0,0.9985163774832957
