year,vehicles,machinery,BC,appliances
1946,0.130231620270502,0.095388435680688,0.714996464251838,0.059383479796973
1947,0.129097878049807,0.094576914900902,0.717412507608174,0.058912699441118
1948,0.128488919674849,0.093939415910367,0.718900035111535,0.058671629303249
1949,0.127965589521007,0.093385095609838,0.720182364542485,0.058466950326671
1950,0.128216776738512,0.093059916556304,0.720087809758981,0.058635496946203
1951,0.128931272486075,0.092851546026773,0.719177799535822,0.059039381951330
1952,0.129629334262342,0.092759786822753,0.718130609652807,0.059480269262099
1953,0.130827561853209,0.092772314797701,0.716209664326464,0.060190459022626
1954,0.131723141511959,0.092880236001853,0.714589686934081,0.060806935552107
1955,0.133756259437352,0.093185155563054,0.711132974169593,0.061925610830001
1956,0.135998015960031,0.093660725785071,0.707244863678235,0.063096394576663
1957,0.138340415300026,0.094221955375895,0.703208498283519,0.064229131040560
1958,0.139753636446440,0.094999474984054,0.700301564089637,0.064945324479870
1959,0.141536572056415,0.096307592247467,0.696376881730630,0.065778953965489
1960,0.143783439554656,0.098012388826276,0.691434182306821,0.066769989312247
1961,0.145934064195673,0.099034534579382,0.687541227084619,0.067490174140327
1962,0.148382415690073,0.100549446255538,0.683138606295648,0.067929531758741
1963,0.150759180663011,0.101999105442412,0.678908604735641,0.068333109158936
1964,0.151817880241695,0.104979345093965,0.673867349958081,0.069335424706259
1965,0.154260740986026,0.106578003129347,0.669360463304030,0.069800792580596
1966,0.156343923159279,0.108068501847607,0.665452144249789,0.070135430743325
1967,0.158254512630193,0.109349256003535,0.662013751483399,0.070382479882873
1968,0.160183309600840,0.110556811436431,0.658623448731706,0.070636430231023
1969,0.162067792417006,0.111892487946947,0.655131532847968,0.070908186788079
1970,0.163612917265908,0.113229207657001,0.652055516749703,0.071102358327387
1971,0.164603926977818,0.114548391363301,0.649774778706261,0.071072902952619
1972,0.165690234626620,0.115828461143415,0.647395551437911,0.071085752792054
1973,0.166852027560772,0.117202519258599,0.644715635010081,0.071229818170548
1974,0.167622149427488,0.118564585175352,0.642600521876815,0.071212743520344
1975,0.167570264312080,0.119820584102732,0.641750586469624,0.070858565115563
1976,0.167569594279262,0.120972220525886,0.640962087166635,0.070496098028217
1977,0.167253143212155,0.122092106538674,0.640664442142486,0.069990308106686
1978,0.166896130150486,0.123356953969719,0.640242017352699,0.069504898527096
1979,0.166506730136194,0.124578998700798,0.639917233272134,0.068997037890875
1980,0.165705967004481,0.125706157989710,0.640320323866525,0.068267551139284
1981,0.164765935569351,0.126618133486628,0.641169379219068,0.067446551724953
1982,0.163265007741305,0.127483735284266,0.642893983352158,0.066357273622272
1983,0.161704652171189,0.128288000339788,0.644724428356313,0.065282919132709
1984,0.160470024168006,0.129821004673503,0.645084205627263,0.064624765531228
1985,0.158921750182057,0.130751011087275,0.646654260352474,0.063672978378194
1986,0.157296194762370,0.131671615278682,0.648319095263678,0.062713094695269
1987,0.155685053793885,0.132531510255983,0.649975905651684,0.061807530298448
1988,0.154322172780305,0.133176559873555,0.651465066247912,0.061036201098228
1989,0.152961955285692,0.133781541804738,0.652971314910867,0.060285187998703
1990,0.151610437478835,0.134314637013859,0.654547620590292,0.059527304917014
1991,0.150136773777900,0.134910231406284,0.656275872407834,0.058677122407982
1992,0.148453341998241,0.135594792315304,0.658171658570251,0.057780207116204
1993,0.146551890773401,0.136608070710271,0.659934866097694,0.056905172418634
1994,0.144687302063883,0.137594419489680,0.661695772983860,0.056022505462578
1995,0.142964478853135,0.138494058349710,0.663322111567638,0.055219351229516
1996,0.140931140153904,0.139507460333678,0.665176832794513,0.054384566717905
1997,0.139016489359091,0.140589655989417,0.666752318279831,0.053641536371661
1998,0.137069608447828,0.141509581014705,0.668563566088077,0.052857244449390
1999,0.137961240068662,0.141813358649913,0.667427372229448,0.052798029051977
2000,0.136526751661757,0.142993131097323,0.668173931309586,0.052306185931334
2001,0.134884536276175,0.144272648529508,0.669041096223544,0.051801718970773
2002,0.133591485676693,0.145752986132030,0.669182301944345,0.051473226246931
2003,0.128577150051932,0.147370623449251,0.673697053165815,0.050355173333001
2004,0.127308605519990,0.149057012627618,0.673311469608952,0.050322912243440
2005,0.125991943660270,0.151249298697334,0.672317795807185,0.050440961835210
2006,0.125033156727733,0.153591784462779,0.670608733098561,0.050766325710927
2007,0.124132113643763,0.156266106862924,0.668359535167329,0.051242244325984
2008,0.123221899647463,0.158677938619595,0.666496652974219,0.051603508758723
